timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
999027,-0.5,-1.8,9.5,0.0,-0.0,-0.1
999511,0.5,0.2,11.0,0.7,-0.4,-0.0
1000141,3.9,5.9,7.3,2.2,-1.3,0.1
1000711,4.2,7.2,-7.0,0.9,-0.5,-0.2
1001250,3.4,6.8,-2.5,-1.4,0.6,-0.1
1001850,2.3,4.2,10.4,-1.8,0.7,-0.0
1002421,0.3,0.3,11.2,-0.3,0.1,-0.0
1002992,1.8,2.7,11.2,1.6,-0.9,-0.0
1003561,3.4,5.9,0.2,1.8,-0.9,-0.1
1004101,3.9,7.8,-3.6,-1.2,0.4,-0.1
1004641,3.1,4.7,8.2,-1.7,0.7,0.1
1005181,0.9,0.7,11.6,-0.6,0.4,-0.0
1005782,1.2,1.6,12.1,1.5,-0.8,-0.1
1006382,3.2,6.0,2.6,1.9,-0.9,-0.0
1006952,4.3,8.8,-1.9,-0.3,0.1,0.0
1007531,3.4,4.9,6.4,-1.4,0.8,-0.0
1008032,0.4,0.6,12.4,-1.4,0.7,0.0
1008701,0.7,0.7,11.5,1.1,-0.6,-0.0
1009202,2.8,4.9,8.3,1.9,-1.0,-0.1
1009742,5.2,10.0,-3.2,0.8,-0.4,0.0
1010282,3.7,6.3,1.7,-1.3,0.6,-0.1
1010881,1.1,2.4,11.4,-1.5,0.6,-0.1
1011452,0.1,-0.2,10.9,0.0,-0.1,0.0
1012021,1.7,3.1,10.4,1.5,-0.7,-0.1
1012591,3.4,6.9,0.2,2.0,-1.0,0.1
1013131,4.8,8.6,-1.7,-0.6,0.2,-0.1
1013730,0.7,2.8,10.4,-1.8,0.8,-0.2
1014271,0.0,-0.6,10.9,-0.2,-0.0,0.1
1014872,0.9,0.6,11.5,1.5,-0.8,-0.1
1015412,2.6,4.8,5.4,2.2,-1.1,0.0
1015981,4.6,9.2,-2.6,-0.5,0.3,-0.1
1016551,2.3,5.5,4.7,-1.7,0.8,-0.1
1017122,1.5,1.2,11.1,-0.7,0.2,0.1
1017662,1.95,-0.1,11.6,0.5,-0.3,-0.1
1018261,2.4,3.9,9.1,2.2,-1.1,-0.1
1018800,5.4,10.6,-5.3,1.0,-0.25,-0.1
1019341,3.0,5.3,1.7,-1.6,0.6,-0.1
1019881,1.4,3.0,10.1,-1.3,0.5,-0.1
1020421,0.0,-0.4,10.5,-0.0,-0.0,0.0
1020961,1.2,1.8,11.8,1.8,-0.9,-0.1
1021531,2.8,5.6,-0.8,1.7,-0.8,0.0
1022071,4.9,8.3,-1.1,-0.8,0.3,-0.2
1022641,1.5,4.7,8.5,-1.6,0.5,-0.2
1023211,1.5,2.0,11.5,-0.7,0.2,0.1
1023810,1.3,2.0,11.8,1.4,-0.7,-0.1
1024351,2.8,5.1,4.4,2.1,-1.1,0.1
1024920,3.7,8.2,-3.3,-0.4,0.2,-0.1
1025521,1.0,3.7,11.8,-1.8,0.8,-0.2
1026061,0.2,0.3,11.5,-1.0,0.2,0.0
1026630,0.8,0.6,11.8,1.2,-0.6,0.0
1027209,3.1,5.7,5.5,1.8,-0.9,0.0
1027710,5.3,10.2,-5.1,1.1,-0.4,0.0
1028250,3.7,6.4,2.5,-1.4,0.6,-0.2
1028791,1.2,1.6,10.9,-1.7,0.5,-0.1
1029331,0.5499999999999999,-1.4,9.8,-0.85,-0.2,0.0
1029930,-0.1,-1.9,9.9,0.0,-0.1,-0.1
1030561,5.0,-4.3,7.6,0.2,-1.6,-0.3
1031130,7.8,-3.5,4.0,-0.1,-0.1,0.2
1031791,7.5,-4.2,4.5,-0.0,0.0,-0.1
1032361,8.1,-4.0,2.6,-0.1,-0.6,-0.0
