1,2012600,-0.811,1.366,9.763,0.133,-0.111,-0.021,46.551,-53.756,17.831
1,2012604,-0.811,1.366,9.763,0.133,-0.111,-0.021,46.872,-53.756,17.831
1,2012626,-0.778,1.358,9.848,0.127,-0.114,-0.018,46.580,-54.019,17.451
1,2012630,-0.822,1.344,9.863,0.133,-0.111,-0.020,46.580,-54.019,17.451
1,2012634,-0.822,1.344,9.863,0.133,-0.111,-0.020,46.580,-54.019,17.451
1,2012657,-0.817,1.399,9.957,0.162,-0.108,-0.018,46.244,-54.341,18.153
1,2012661,-0.854,1.417,10.002,0.176,-0.103,-0.017,46.244,-54.341,18.153
1,2012664,-0.854,1.417,10.002,0.176,-0.103,-0.017,46.785,-53.859,18.474
1,2012687,-0.872,1.445,9.985,0.200,-0.092,-0.016,46.595,-54.049,18.299
1,2012691,-0.864,1.464,9.966,0.206,-0.094,-0.016,46.595,-54.049,18.299
1,2012694,-0.864,1.464,9.966,0.206,-0.094,-0.016,46.595,-54.049,18.299
1,2012716,-0.858,1.528,9.958,0.198,-0.090,-0.018,46.083,-53.639,18.036
1,2012748,-0.848,1.568,9.969,0.137,-0.095,-0.023,46.200,-53.975,18.109
1,2012751,-0.848,1.568,9.969,0.137,-0.095,-0.023,46.200,-53.975,18.109
1,2012754,-0.848,1.568,9.969,0.137,-0.095,-0.023,46.200,-53.975,18.109
1,2012777,-0.860,1.549,9.989,0.084,-0.100,-0.032,46.141,-53.829,17.977
1,2012781,-0.860,1.549,9.989,0.084,-0.100,-0.032,46.141,-53.829,17.977
1,2012784,-0.860,1.549,9.989,0.084,-0.100,-0.032,46.141,-53.829,18.328
1,2012807,-0.843,1.528,10.019,0.060,-0.095,-0.037,46.185,-54.092,17.495
1,2012810,-0.843,1.528,10.019,0.060,-0.095,-0.037,45.966,-53.844,17.714
1,2012836,-0.866,1.434,9.935,0.061,-0.088,-0.042,46.390,-53.990,17.977
1,2012840,-0.866,1.434,9.935,0.061,-0.088,-0.042,46.390,-53.990,17.977
1,2012844,-0.860,1.443,9.881,0.061,-0.088,-0.042,46.390,-53.990,17.977
1,2012867,-0.827,1.372,9.806,0.078,-0.088,-0.040,46.434,-54.195,18.372
