,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
82,592386,1.3,-0.6,-9.3,0.4,-0.25,0.1
83,592987,-1.3,-4.35,-7.5,1.1,-0.5,-0.0
84,593556,-2.2,-8.1,-4.8,0.4,-0.2,0.0
85,594126,-3.3,-9.1,-1.5,0.8,-0.4,0.1
86,594666,-3.7,-9.0,1.3,0.5,-0.3,-0.1
87,595267,-3.8,-9.9,2.1,-0.6,0.1,-0.1
88,595807,-2.8,-9.4,-2.5,-1.3,0.5,-0.2
89,596407,-1.1,-5.0,-7.6,-0.9,0.1,-0.0
90,597006,0.6,-1.0,-9.3,0.0,0.1,-0.0
91,597546,0.7,-1.0,-9.5,0.5,-0.3,0.0
92,598086,-2.1,-6.2,-6.2,1.1,-0.5,0.1
93,598657,-2.8,-8.7,-2.9,0.9,-0.4,-0.0
94,599227,-3.4,-9.3,0.5,0.4,-0.2,0.0
95,599796,-4.4,-9.9,1.3,0.0,-0.1,-0.0
96,600366,-2.5,-8.8,-2.8,-0.9,0.4,-0.3
97,600937,-0.1,-4.2,-7.3,-0.9,0.2,-0.0
98,601506,1.3,-0.3,-9.4,-0.3,0.1,0.05
99,602086,1.1,-1.7,-9.2,0.8,-0.4,0.1
100,602586,-1.3,-5.9,-6.9,1.0,-0.5,0.2
101,603187,-4.1,-10.0,-0.4,1.6,-0.7,0.2
102,603726,-6.5,-7.9,0.2,-0.5,0.0,1.2
103,604296,-11.6,-1.1,0.4,-0.0,-0.3,0.5
104,604957,-10.7,0.7,1.4,0.2,-0.0,0.2
105,605617,-9.8,1.9,1.1,0.2,-0.0,0.2
